Nom,Latitude,Longitude,Altitude,Zone,janv.,févr.,mars,avr.,mai,juin,juill.,août,sept.,oct.,nov.,déc.
Dijon,47.267833,5.088333,219,NE,2.5949704227384442,3.772963843958158,7.258599362688319,10.723406002687794,14.718681620839385,18.958250263514554,20.72468909276251,20.285792143788978,16.315526949713966,11.720840226382261,6.3418687103266995,3.332981665163834
Embrun,44.565667,6.502333,871,SE,1.367776972157796,2.767637695001615,6.641351429815671,9.921435192106467,13.846038147932463,18.22882788868726,20.51254736530494,19.95702793133549,15.775483048304853,11.37700450777958,5.627373358348991,1.9604279686558397
Gourdon,44.745,1.396667,260,SO,5.093432706222888,5.956882250119204,9.09197794224353,11.842949467686333,15.325664598066123,19.179644037248448,20.86483328501017,20.66522145885107,17.337281377435456,13.703490469954918,8.385437392795907,5.722159159159182
Le Puy,45.0745,3.764,833,SE,1.1035943833237059,1.7362422409677134,4.7447486195873525,7.668928892889312,11.68858037274318,15.941122417983012,17.82377654801079,17.338691411935976,13.374230304859667,9.902355450934259,4.796471046077233,1.9271583874377403
Lille,50.57,3.0975,47,NE,3.959753424657557,4.832281091370581,7.276759647347906,10.307107696897397,13.817552346570421,17.06219770389148,18.72035265211738,18.651098693759092,15.758434691432019,11.925098265895976,7.5024787250503095,4.704437612477528
Limoges,45.861167,1.175,402,SO,4.252974884526583,4.834693489624607,7.889109440508914,10.541026099925453,14.019357678983857,17.821253170222313,19.324614047791478,19.401855327750525,16.30955968249216,12.619516572586505,7.490331680099217,5.030593881223778
Lyon,45.7265,5.077833,235,SE,3.696435285611014,4.928999841244665,8.619809248554937,12.116812743045193,16.13997827346468,20.33830191502097,22.03607971014495,21.672955729166688,17.674428099669793,13.492702272398345,7.707188711428151,4.452808414725793
Marignane,43.437667,5.216,9,SE,7.367574971164959,8.0268868821293,11.140654461582841,14.325266856032314,18.51089625360233,23.026599880382797,25.27869439630274,24.711506354708284,20.776029720804587,16.911937581274405,11.524408668730674,8.100806524016184
Millau,44.1185,3.0195,712,SE,3.0156898550724867,3.674115390762369,6.6403013182674435,9.427904009720558,13.217636363636387,17.702986480328143,19.777676527426813,19.648424313956944,15.78397338977928,11.951844321812395,6.668717590436291,4.057223312698197
Mont-De-Marsan,43.909833,-0.500167,59,SO,5.946649199417781,6.84332321457104,9.941490115078217,12.658937130407741,16.148584213615045,19.737936387155706,21.34760105835663,21.37405373831778,18.274910188679268,14.382548649433657,9.100935899425757,6.493262679788063
Montelimar,44.581167,4.733,73,SE,5.404432885421206,6.4070748730964695,9.952724507531888,13.126818860041801,17.17582657788074,21.589371514694825,23.748967414916752,23.24242604408355,19.05583572399217,14.760056661339556,9.247741384663172,6.000623123123146
Montpellier,43.577,3.963167,2,SE,7.4403379750507925,8.239184193754006,11.157853509664317,13.975746763023208,17.90186610514089,22.25270177017704,24.56119633241161,24.013835000724974,20.217132286318357,16.484770307714765,11.295687929956246,8.059682085279517
Nancy,48.581,5.959833,336,NE,2.0141426293665976,3.2008355880948822,6.295144601075449,9.864474596713425,13.801027621027645,17.64640456367563,19.221135713209843,18.90570618941091,15.052974860335217,10.952690451820464,5.925196664568934,3.005875076359217
Nantes,47.15,-1.608833,26,NO,6.173865243110685,6.666292775665422,9.013362193362216,11.371758651551335,14.676062355658221,18.057033557047003,19.53004486901146,19.371162555892134,17.009988018571235,13.464299537839421,9.186654280848453,6.608373837383761
Nice,43.648833,7.209,2,SE,8.761784370477592,9.501179282868549,11.77186830680176,14.281473194173321,18.022806535569718,22.061930900388894,24.524422714761723,24.701993643455673,21.3996352994147,17.53040440643574,12.778461897356165,9.475186242114772
Orly,48.716833,2.384333,89,NO,4.483669552669576,5.276996354414352,8.139934782608718,11.228175291654225,14.870153201329694,18.560622666865783,20.32237489152447,19.989261832392557,16.55237681593532,12.529493414387055,7.8383240482822885,5.130668765931947
Perpignan,42.737167,2.872833,42,SE,8.654563205091144,9.239057292493278,11.783104494869225,14.308713581353677,17.908576811594227,22.418530734632707,24.798277972027993,24.489152051021907,20.871261071911146,17.167179227542334,12.137370215403713,9.170706041073325
Ploumanac'H,48.825833,-3.473167,55,NO,7.9018149300155756,7.84987071194624,8.852689233662458,10.25769060773483,12.597829943416448,15.090926730828958,16.839937689969627,17.15872894333846,16.177919400187466,13.81447542960509,10.696135812449496,8.634175548589365
